MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandWidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandWidth;AbsError(read);RelError(read)
flash;20971520;int;20971520;9;clock_gettime;6.107841;6.177456;3.394847;0.069615;1.139769%;4.212020;4.248292;4.936459;0.036272;0.861145%
flash;20971520;int;20971520;10;clock_gettime;5.903989;6.177456;3.394847;0.273467;4.631908%;4.230760;4.248292;4.936459;0.017531;0.414377%
flash;20971520;int;20971520;11;clock_gettime;5.964191;6.177456;3.394847;0.213265;3.575759%;4.211320;4.248292;4.936459;0.036971;0.877905%
flash;20971520;int;20971520;12;clock_gettime;6.080136;6.177456;3.394847;0.097320;1.600620%;4.220962;4.248292;4.936459;0.027330;0.647474%
flash;20971520;int;20971520;13;clock_gettime;5.901109;6.177456;3.394847;0.276348;4.682976%;4.221005;4.248292;4.936459;0.027287;0.646452%
flash;20971520;int;20971520;14;clock_gettime;6.735878;6.177456;3.394847;0.558422;8.290257%;4.278263;4.248292;4.936459;0.029971;0.700535%
flash;20971520;int;20971520;15;clock_gettime;6.146925;6.177456;3.394847;0.030531;0.496693%;4.200766;4.248292;4.936459;0.047525;1.131350%
flash;20971520;int;20971520;16;clock_gettime;6.040670;6.177456;3.394847;0.136787;2.264426%;4.441530;4.248292;4.936459;0.193238;4.350711%
flash;20971520;int;20971520;17;clock_gettime;7.155355;6.177456;3.394847;0.977899;13.666675%;4.105633;4.248292;4.936459;0.142659;3.474718%
flash;20971520;int;20971520;18;clock_gettime;6.061102;6.177456;3.394847;0.116354;1.919691%;4.278749;4.248292;4.936459;0.030457;0.711827%
flash;20971520;int;20971520;19;clock_gettime;6.018236;6.177456;3.394847;0.159220;2.645626%;4.382380;4.248292;4.936459;0.134088;3.059702%
flash;20971520;int;20971520;20;clock_gettime;6.549688;6.177456;3.394847;0.372231;5.683193%;4.357870;4.248292;4.936459;0.109578;2.514481%
